"Period: January/2022","Basic Payment: 2021-01-29","Bonus Payment: 2021-01-11"
"Period: February/2022","Basic Payment: 2021-02-26","Bonus Payment: 2021-02-10"
"Period: March/2022","Basic Payment: 2021-03-31","Bonus Payment: 2021-03-10"
"Period: April/2022","Basic Payment: 2021-04-30","Bonus Payment: 2021-04-12"
"Period: May/2022","Basic Payment: 2021-05-31","Bonus Payment: 2021-05-10"
"Period: June/2022","Basic Payment: 2021-06-30","Bonus Payment: 2021-06-10"
"Period: July/2022","Basic Payment: 2021-07-30","Bonus Payment: 2021-07-12"
"Period: August/2022","Basic Payment: 2021-08-31","Bonus Payment: 2021-08-10"
"Period: September/2022","Basic Payment: 2021-09-30","Bonus Payment: 2021-09-10"
"Period: October/2022","Basic Payment: 2021-10-29","Bonus Payment: 2021-10-11"
"Period: November/2022","Basic Payment: 2021-11-30","Bonus Payment: 2021-11-10"
"Period: December/2022","Basic Payment: 2021-12-31","Bonus Payment: 2021-12-10"
"Period: January/2021","Basic Payment: 2021-01-29","Bonus Payment: 2021-01-11"
"Period: February/2021","Basic Payment: 2021-02-26","Bonus Payment: 2021-02-10"
"Period: March/2021","Basic Payment: 2021-03-31","Bonus Payment: 2021-03-10"
"Period: April/2021","Basic Payment: 2021-04-30","Bonus Payment: 2021-04-12"
"Period: May/2021","Basic Payment: 2021-05-31","Bonus Payment: 2021-05-10"
"Period: June/2021","Basic Payment: 2021-06-30","Bonus Payment: 2021-06-10"
"Period: July/2021","Basic Payment: 2021-07-30","Bonus Payment: 2021-07-12"
"Period: August/2021","Basic Payment: 2021-08-31","Bonus Payment: 2021-08-10"
"Period: September/2021","Basic Payment: 2021-09-30","Bonus Payment: 2021-09-10"
"Period: October/2021","Basic Payment: 2021-10-29","Bonus Payment: 2021-10-11"
"Period: November/2021","Basic Payment: 2021-11-30","Bonus Payment: 2021-11-10"
"Period: December/2021","Basic Payment: 2021-12-31","Bonus Payment: 2021-12-10"
